terminal_name,locked,temporary,install_date,removal_date,place_id,common_name,installed
001178,false,false,1279287600000,,BikePoints_164,"Cleveland Gardens, Bayswater",true
002585,false,false,1279287960000,,BikePoints_165,"Orsett Terrace, Bayswater",true
001177,false,false,1279288140000,,BikePoints_166,"Seville Street, Knightsbridge",true
003465,false,false,,,BikePoints_167,"Eccleston Place, Victoria",true
003463,false,false,1279289400000,,BikePoints_168,"Argyll Road, Kensington",true
022158,false,false,1319448720000,,BikePoints_432,"Exhibition Road Museums 1, South Kensington",true
022169,false,false,1323361560000,,BikePoints_433,"Wren Street, Holborn",true
022170,false,false,1323346020000,,BikePoints_435,"Kennington Station, Kennington",true
022171,false,false,1323350220000,,BikePoints_436,"Red Lion Street, Holborn",true
200056,false,false,1325746380000,,BikePoints_437,"Vauxhall Walk, Vauxhall",true
200053,false,false,1325705460000,,BikePoints_439,"Killick Street, King's Cross",true
200032,false,false,1325708160000,,BikePoints_440,"Kennington Oval, Oval",true
200039,false,false,1325711220000,,BikePoints_441,"Sail Street, Vauxhall",true
200035,false,false,1325940420000,,BikePoints_442,"Walmer Road, Avondale",true
200033,false,false,1325941800000,,BikePoints_443,"Philpot Street, Whitechapel",true
200047,false,false,1325944680000,,BikePoints_444,"Bethnal Green Garden, Bethnal Green",true
200003,false,false,1325945820000,,BikePoints_445,"Cheshire Street, Bethnal Green",true
200042,false,false,1325948880000,,BikePoints_446,"York Hall, Bethnal Green",true
200054,false,false,1325949000000,,BikePoints_447,"Jubilee Crescent, Cubitt Town",true
022165,false,false,1325952660000,,BikePoints_448,"Fisherman's Walk West, Canary Wharf",true
200020,false,false,1325952900000,,BikePoints_449,"Shadwell Station, Shadwell",true
200002,false,false,1326105240000,,BikePoints_450,"Jubilee Street, Stepney",true
200021,false,false,1325501400000,,BikePoints_451,"Hermitage Court, Wapping",true
200049,false,false,1326109140000,,BikePoints_452,"St. Katharine's Way, Tower",true
200045,false,false,1326111060000,,BikePoints_453,"Garnet Street, Shadwell",true
200046,false,false,1326115380000,,BikePoints_454,"Napier Avenue, Millwall",true
200031,false,false,1326117780000,,BikePoints_455,"East Ferry Road, Cubitt Town",true
200118,false,false,1326197580000,,BikePoints_456,"Parkway, Camden Town",true
200016,false,false,1326203280000,,BikePoints_457,"Castlehaven Road, Camden Town",true
200034,false,false,1326294780000,,BikePoints_458,"Wapping Lane, Wapping",true
200014,false,false,,,BikePoints_459,"Gunmakers Lane, Old Ford",true
200123,false,false,1326284820000,,BikePoints_460,"Burdett Road, Mile End",true
200013,false,true,1326293640000,,BikePoints_461,"Aston Street, Stepney",true
200105,false,false,1326294600000,,BikePoints_462,"Bonny Street, Camden Town",true
200093,false,false,,,BikePoints_463,"Thurtle Road, Haggerston",true
200082,false,false,1326304980000,,BikePoints_464,"St. Mary & St. Michael Church, Stepney",true
200152,false,false,1333613280000,,BikePoints_465,"Pitfield Street North,Hoxton",true
200158,false,false,1326360000000,,BikePoints_466,"Whiston Road, Haggerston",true
200168,false,false,1326374040000,,BikePoints_467,"Southern Grove, Bow",true
200150,false,false,1326375720000,,BikePoints_468,"Cantrell Road, Bow",true
