removal_date,common_name,install_date,temporary,place_id,installed,locked,terminal_name
,"Sail Street, Vauxhall",1325711220000,false,BikePoints_441,true,false,200039
,"Walmer Road, Avondale",1325940420000,false,BikePoints_442,true,false,200035
,"Philpot Street, Whitechapel",1325941800000,false,BikePoints_443,true,false,200033
,"Bethnal Green Garden, Bethnal Green",1325944680000,false,BikePoints_444,true,false,200047
,"Cheshire Street, Bethnal Green",1325945820000,false,BikePoints_445,true,false,200003
,"York Hall, Bethnal Green",1325948880000,false,BikePoints_446,true,false,200042
,"Jubilee Crescent, Cubitt Town",1325949000000,false,BikePoints_447,true,false,200054
,"Fisherman's Walk West, Canary Wharf",1325952660000,false,BikePoints_448,true,false,022165
,"Shadwell Station, Shadwell",1325952900000,false,BikePoints_449,true,false,200020
,"Jubilee Street, Stepney",1326105240000,false,BikePoints_450,true,false,200002
,"Hermitage Court, Wapping",1325501400000,false,BikePoints_451,true,false,200021
,"St. Katharine's Way, Tower",1326109140000,false,BikePoints_452,true,false,200049
,"Garnet Street, Shadwell",1326111060000,false,BikePoints_453,true,false,200045
,"Napier Avenue, Millwall",1326115380000,false,BikePoints_454,true,false,200046
,"East Ferry Road, Cubitt Town",1326117780000,false,BikePoints_455,true,false,200031
,"Parkway, Camden Town",1326197580000,false,BikePoints_456,true,false,200118
,"Castlehaven Road, Camden Town",1326203280000,false,BikePoints_457,true,false,200016
,"Wapping Lane, Wapping",1326294780000,false,BikePoints_458,true,false,200034
,"Gunmakers Lane, Old Ford",,false,BikePoints_459,true,false,200014
,"Burdett Road, Mile End",1326284820000,false,BikePoints_460,true,false,200123
,"Aston Street, Stepney",1326293640000,true,BikePoints_461,true,false,200013
,"Bonny Street, Camden Town",1326294600000,false,BikePoints_462,true,false,200105
,"Thurtle Road, Haggerston",,false,BikePoints_463,true,false,200093
,"St. Mary & St. Michael Church, Stepney",1326304980000,false,BikePoints_464,true,false,200082
,"Pitfield Street North,Hoxton",1333613280000,false,BikePoints_465,true,false,200152
,"Whiston Road, Haggerston",1326360000000,false,BikePoints_466,true,false,200158
