locked,terminal_name,removal_date,installed,temporary,place_id,common_name,install_date
false,200045,,true,false,BikePoints_453,"Garnet Street, Shadwell",1326111060000
false,200046,,true,false,BikePoints_454,"Napier Avenue, Millwall",1326115380000
false,200031,,true,false,BikePoints_455,"East Ferry Road, Cubitt Town",1326117780000
false,200118,,true,false,BikePoints_456,"Parkway, Camden Town",1326197580000
false,200016,,true,false,BikePoints_457,"Castlehaven Road, Camden Town",1326203280000
false,200034,,true,false,BikePoints_458,"Wapping Lane, Wapping",1326294780000
false,200014,,true,false,BikePoints_459,"Gunmakers Lane, Old Ford",
false,200123,,true,false,BikePoints_460,"Burdett Road, Mile End",1326284820000
false,200013,,true,true,BikePoints_461,"Aston Street, Stepney",1326293640000
false,200105,,true,false,BikePoints_462,"Bonny Street, Camden Town",1326294600000
false,200093,,true,false,BikePoints_463,"Thurtle Road, Haggerston",
false,200082,,true,false,BikePoints_464,"St. Mary & St. Michael Church, Stepney",1326304980000
false,200152,,true,false,BikePoints_465,"Pitfield Street North,Hoxton",1333613280000
false,200158,,true,false,BikePoints_466,"Whiston Road, Haggerston",1326360000000
false,200168,,true,false,BikePoints_467,"Southern Grove, Bow",1326374040000
false,200150,,true,false,BikePoints_468,"Cantrell Road, Bow",1326375720000
false,022178,,true,false,BikePoints_469,"Lindfield Street, Poplar",1326381060000
