common_name,terminal_name,removal_date,locked,temporary,place_id,installed,install_date
"York Hall, Bethnal Green",200042,,false,false,BikePoints_446,true,1325948880000
"Jubilee Crescent, Cubitt Town",200054,,false,false,BikePoints_447,true,1325949000000
"Fisherman's Walk West, Canary Wharf",022165,,false,false,BikePoints_448,true,1325952660000
"Shadwell Station, Shadwell",200020,,false,false,BikePoints_449,true,1325952900000
"Jubilee Street, Stepney",200002,,false,false,BikePoints_450,true,1326105240000
"Hermitage Court, Wapping",200021,,false,false,BikePoints_451,true,1325501400000
"St. Katharine's Way, Tower",200049,,false,false,BikePoints_452,true,1326109140000
"Garnet Street, Shadwell",200045,,false,false,BikePoints_453,true,1326111060000
"Napier Avenue, Millwall",200046,,false,false,BikePoints_454,true,1326115380000
"East Ferry Road, Cubitt Town",200031,,false,false,BikePoints_455,true,1326117780000
"Parkway, Camden Town",200118,,false,false,BikePoints_456,true,1326197580000
"Castlehaven Road, Camden Town",200016,,false,false,BikePoints_457,true,1326203280000
"Wapping Lane, Wapping",200034,,false,false,BikePoints_458,true,1326294780000
"Gunmakers Lane, Old Ford",200014,,false,false,BikePoints_459,true,
"Burdett Road, Mile End",200123,,false,false,BikePoints_460,true,1326284820000
"Aston Street, Stepney",200013,,false,true,BikePoints_461,true,1326293640000
"Bonny Street, Camden Town",200105,,false,false,BikePoints_462,true,1326294600000
"Thurtle Road, Haggerston",200093,,false,false,BikePoints_463,true,
"St. Mary & St. Michael Church, Stepney",200082,,false,false,BikePoints_464,true,1326304980000
"Pitfield Street North,Hoxton",200152,,false,false,BikePoints_465,true,1333613280000
"Whiston Road, Haggerston",200158,,false,false,BikePoints_466,true,1326360000000
"Southern Grove, Bow",200168,,false,false,BikePoints_467,true,1326374040000
"Cantrell Road, Bow",200150,,false,false,BikePoints_468,true,1326375720000
"Lindfield Street, Poplar",022178,,false,false,BikePoints_469,true,1326381060000
