temporary,common_name,terminal_name,place_id,installed,install_date,locked,removal_date
false,"Park Street, Bankside",001024,BikePoints_10,true,1278242460000,false,
false,"Brunswick Square, Bloomsbury",001022,BikePoints_11,true,1278340440000,false,
false,"Malet Street, Bloomsbury",000980,BikePoints_12,true,1278340620000,false,
false,"Scala Street, Fitzrovia",000970,BikePoints_13,true,1278340800000,false,
false,"Belgrove Street , King's Cross",001011,BikePoints_14,true,1278341040000,false,
false,"Great Russell Street, Bloomsbury",000988,BikePoints_15,true,1278341220000,false,
false,"Cartwright Gardens , Bloomsbury",001010,BikePoints_16,true,1278341400000,false,
false,"Hatton Wall, Holborn",001008,BikePoints_17,true,1278423720000,false,
false,"Drury Lane, Covent Garden",001007,BikePoints_18,true,1278426300000,false,
false,"Taviton Street, Bloomsbury",001009,BikePoints_19,true,1278426720000,false,
false,"Drummond Street , Euston",000993,BikePoints_20,true,1544659200000,false,
false,"Lansdowne Drive, Hackney Central",003426,BikePoints_21,true,1278427740000,false,
false,"Northington Street , Holborn",003425,BikePoints_22,true,1278428880000,false,
false,"Red Lion Square, Holborn",003421,BikePoints_23,true,1278429300000,false,
false,"British Museum, Bloomsbury",000981,BikePoints_24,true,1278430140000,false,
false,"Doric Way , Somers Town",001004,BikePoints_25,true,1278433200000,false,
false,"Ampton Street , Clerkenwell",001019,BikePoints_26,true,1278434160000,false,
false,"Bouverie Street, Temple",001021,BikePoints_27,true,1278500160000,false,
false,"Bolsover Street, Fitzrovia",001025,BikePoints_28,true,1278500460000,false,
false,"Hereford Road, Bayswater",001016,BikePoints_29,true,1278501180000,false,
false,"Windsor Terrace, Hoxton",001029,BikePoints_30,true,1278501420000,false,
false,"Fanshaw Street, Hoxton",003427,BikePoints_31,true,1278501600000,false,
false,"Leonard Circus , Shoreditch",001020,BikePoints_32,true,1278506700000,false,
false,"Central House, Aldgate",003430,BikePoints_33,true,1278506940000,false,
false,"Pancras Road, King's Cross",003428,BikePoints_34,true,1278507060000,false,
false,"De Vere Gardens, Kensington",003446,BikePoints_36,true,1278519900000,false,
false,"Penywern Road, Earl's Court",003444,BikePoints_37,true,1278520020000,false,
false,"Abingdon Villas, Kensington",003442,BikePoints_38,true,1278584880000,false,
false,"Shoreditch High Street, Shoreditch",003445,BikePoints_39,true,1278601740000,false,
false,"Commercial Street, Shoreditch",001083,BikePoints_40,true,1278601980000,false,
false,"Pindar Street, Liverpool Street",001084,BikePoints_41,true,1278602280000,false,
false,"Wenlock Road , Hoxton",000979,BikePoints_42,true,1278602700000,false,
false,"Crawford Street, Marylebone",001036,BikePoints_43,true,1278687720000,false,
false,"Bruton Street, Mayfair",001034,BikePoints_44,true,1278687900000,false,
