locked,temporary,installed,common_name,place_id,install_date,removal_date,terminal_name
false,false,true,"Lambeth Road, Vauxhall",BikePoints_139,1279205460000,,001078
false,false,true,"Finsbury Square , Moorgate",BikePoints_140,1279205580000,,001056
false,false,true,"Chapel Place, Marylebone",BikePoints_141,1279210980000,,001003
false,false,true,"West Cromwell Road, Earl's Court",BikePoints_142,1279211220000,,001001
false,false,true,"Pont Street, Knightsbridge",BikePoints_143,1279211400000,,001114
false,false,true,"Kennington Cross, Kennington",BikePoints_144,1279211580000,,001093
false,false,true,"Ilchester Place, Kensington",BikePoints_145,1279212180000,,001115
false,false,true,"Vauxhall Bridge , Pimlico",BikePoints_146,1279212360000,,001046
false,false,true,"Tachbrook Street, Victoria",BikePoints_148,,,000965
false,false,true,"Kennington Road Post Office, Oval",BikePoints_149,1279215360000,,001073
false,false,true,"Holy Trinity Brompton, Knightsbridge",BikePoints_150,1279215540000,,001002
false,false,true,"Chepstow Villas, Notting Hill",BikePoints_151,1279215720000,,001120
false,false,true,"Hampton Street, Walworth",BikePoints_152,1279215900000,,001118
false,false,true,"Bayswater Road, Hyde Park",BikePoints_153,1279216080000,,001096
false,false,true,"Waterloo Station 3, Waterloo",BikePoints_154,,,001072
false,false,true,"Lexham Gardens, Kensington",BikePoints_155,1279272660000,,001121
false,false,true,"New Kent Road, The Borough",BikePoints_156,1279273080000,,000966
false,false,true,"Wright's Lane, Kensington",BikePoints_157,1279273200000,,001094
false,false,true,"Trebovir Road, Earl's Court",BikePoints_158,1279273320000,,001113
false,false,true,"Waterloo Place, St. James's",BikePoints_160,1279274280000,,003458
false,false,true,"Guildhouse Street, Victoria",BikePoints_161,1279286940000,,003478
false,false,true,"Southampton Place, Holborn",BikePoints_162,1279287120000,,001123
false,false,true,"Sloane Avenue, Knightsbridge",BikePoints_163,1279287300000,,003461
false,false,true,"Cleveland Gardens, Bayswater",BikePoints_164,1279287600000,,001178
false,false,true,"Orsett Terrace, Bayswater",BikePoints_165,1279287960000,,002585
false,false,true,"Seville Street, Knightsbridge",BikePoints_166,1279288140000,,001177
false,false,true,"Eccleston Place, Victoria",BikePoints_167,,,003465
false,false,true,"Argyll Road, Kensington",BikePoints_168,1279289400000,,003463
false,false,true,"Red Lion Street, Holborn",BikePoints_436,1323350220000,,022171
false,false,true,"Vauxhall Walk, Vauxhall",BikePoints_437,1325746380000,,200056
false,false,true,"Killick Street, King's Cross",BikePoints_439,1325705460000,,200053
false,false,true,"Kennington Oval, Oval",BikePoints_440,1325708160000,,200032
false,false,true,"Sail Street, Vauxhall",BikePoints_441,1325711220000,,200039
false,false,true,"Walmer Road, Avondale",BikePoints_442,1325940420000,,200035
false,false,true,"Philpot Street, Whitechapel",BikePoints_443,1325941800000,,200033
false,false,true,"Bethnal Green Garden, Bethnal Green",BikePoints_444,1325944680000,,200047
false,false,true,"Cheshire Street, Bethnal Green",BikePoints_445,1325945820000,,200003
false,false,true,"York Hall, Bethnal Green",BikePoints_446,1325948880000,,200042
false,false,true,"Jubilee Crescent, Cubitt Town",BikePoints_447,1325949000000,,200054
false,false,true,"Fisherman's Walk West, Canary Wharf",BikePoints_448,1325952660000,,022165
false,false,true,"Shadwell Station, Shadwell",BikePoints_449,1325952900000,,200020
false,false,true,"Jubilee Street, Stepney",BikePoints_450,1326105240000,,200002
false,false,true,"Hermitage Court, Wapping",BikePoints_451,1325501400000,,200021
false,false,true,"St. Katharine's Way, Tower",BikePoints_452,1326109140000,,200049
false,false,true,"Garnet Street, Shadwell",BikePoints_453,1326111060000,,200045
false,false,true,"Napier Avenue, Millwall",BikePoints_454,1326115380000,,200046
false,false,true,"East Ferry Road, Cubitt Town",BikePoints_455,1326117780000,,200031
false,false,true,"Parkway, Camden Town",BikePoints_456,1326197580000,,200118
false,false,true,"Castlehaven Road, Camden Town",BikePoints_457,1326203280000,,200016
false,false,true,"Wapping Lane, Wapping",BikePoints_458,1326294780000,,200034
false,false,true,"Gunmakers Lane, Old Ford",BikePoints_459,,,200014
false,false,true,"Burdett Road, Mile End",BikePoints_460,1326284820000,,200123
false,true,true,"Aston Street, Stepney",BikePoints_461,1326293640000,,200013
false,false,true,"Bonny Street, Camden Town",BikePoints_462,1326294600000,,200105
false,false,true,"Thurtle Road, Haggerston",BikePoints_463,,,200093
false,false,true,"St. Mary & St. Michael Church, Stepney",BikePoints_464,1326304980000,,200082
false,false,true,"Pitfield Street North,Hoxton",BikePoints_465,1333613280000,,200152
false,false,true,"Whiston Road, Haggerston",BikePoints_466,1326360000000,,200158
false,false,true,"Southern Grove, Bow",BikePoints_467,1326374040000,,200168
false,false,true,"Cantrell Road, Bow",BikePoints_468,1326375720000,,200150
false,false,true,"Lindfield Street, Poplar",BikePoints_469,1326381060000,,022178
false,false,true,"Mostyn Grove, Bow",BikePoints_470,1326790620000,,200174
