terminal_name,installed,install_date,common_name,temporary,place_id,locked,removal_date
001220,true,1297958700000,"Imperial College, Knightsbridge",false,BikePoints_392,false,
002699,true,1298545440000,"Snow Hill, Farringdon",false,BikePoints_393,false,
002698,true,,"Aberdeen Place, St. John's Wood",false,BikePoints_394,false,
002695,true,1298908800000,"Cadogan Gardens, Chelsea",false,BikePoints_395,false,
002693,true,1299075120000,"Shouldham Street, Marylebone",false,BikePoints_396,false,
001227,true,1299075900000,"Devonshire Terrace, Bayswater",false,BikePoints_397,false,
010631,true,1299076440000,"Holland Park, Kensington",false,BikePoints_398,false,
002687,true,1299582900000,"Brick Lane Market, Shoreditch",false,BikePoints_399,false,
001225,true,1299583260000,"George Street, Marylebone",false,BikePoints_400,false,
002701,true,1299592500000,"Columbia Road, Shoreditch",false,BikePoints_401,false,
010625,true,1299592860000,"Penfold Street, Marylebone",false,BikePoints_402,false,
010630,true,1299593640000,"George Place Mews, Marylebone",false,BikePoints_403,false,
001110,true,1299669180000,"Palace Gate, Kensington Gardens",false,BikePoints_404,false,
001107,true,1299669300000,"Gloucester Road Station, South Kensington",false,BikePoints_405,false,
001129,true,,"Sun Street, Liverpool Street",false,BikePoints_408,false,
010624,true,,"Strata, Elephant & Castle",false,BikePoints_409,false,
001058,true,,"Edgware Road Station, Marylebone",false,BikePoints_410,false,
010629,true,,"Rotherhithe Roundabout, Rotherhithe",false,BikePoints_411,false,
010628,true,1302006180000,"Cleaver Street, Kennington",false,BikePoints_412,false,
022160,true,1308735300000,"Chelsea Bridge, Pimlico",false,BikePoints_419,false,
022162,true,1309258380000,"Southwark Station 1, Southwark",false,BikePoints_420,false,
022163,true,1309258440000,"Southwark Station 2, Southwark",false,BikePoints_421,false,
022164,true,1309860240000,"Eaton Square (South), Belgravia",false,BikePoints_423,false,
022159,true,1324551120000,"Ebury Bridge, Pimlico",false,BikePoints_424,false,
022161,true,1310463720000,"Vincent Street, Pimlico",false,BikePoints_426,false,
022180,true,1310725680000,"Cheapside, Bank",false,BikePoints_427,false,
022179,true,1318496100000,"Exhibition Road, Knightsbridge",false,BikePoints_428,false,
