locked,common_name,install_date,temporary,place_id,terminal_name,removal_date,installed
false,"Eccleston Place, Victoria",,false,BikePoints_167,003465,,true
false,"Argyll Road, Kensington",1279289400000,false,BikePoints_168,003463,,true
false,"Red Lion Street, Holborn",1323350220000,false,BikePoints_436,022171,,true
false,"Vauxhall Walk, Vauxhall",1325746380000,false,BikePoints_437,200056,,true
false,"Killick Street, King's Cross",1325705460000,false,BikePoints_439,200053,,true
false,"Kennington Oval, Oval",1325708160000,false,BikePoints_440,200032,,true
false,"Sail Street, Vauxhall",1325711220000,false,BikePoints_441,200039,,true
false,"Walmer Road, Avondale",1325940420000,false,BikePoints_442,200035,,true
false,"Philpot Street, Whitechapel",1325941800000,false,BikePoints_443,200033,,true
false,"Bethnal Green Garden, Bethnal Green",1325944680000,false,BikePoints_444,200047,,true
false,"Cheshire Street, Bethnal Green",1325945820000,false,BikePoints_445,200003,,true
false,"York Hall, Bethnal Green",1325948880000,false,BikePoints_446,200042,,true
false,"Jubilee Crescent, Cubitt Town",1325949000000,false,BikePoints_447,200054,,true
false,"Fisherman's Walk West, Canary Wharf",1325952660000,false,BikePoints_448,022165,,true
false,"Shadwell Station, Shadwell",1325952900000,false,BikePoints_449,200020,,true
false,"Jubilee Street, Stepney",1326105240000,false,BikePoints_450,200002,,true
false,"Hermitage Court, Wapping",1325501400000,false,BikePoints_451,200021,,true
false,"St. Katharine's Way, Tower",1326109140000,false,BikePoints_452,200049,,true
false,"Garnet Street, Shadwell",1326111060000,false,BikePoints_453,200045,,true
false,"Napier Avenue, Millwall",1326115380000,false,BikePoints_454,200046,,true
false,"East Ferry Road, Cubitt Town",1326117780000,false,BikePoints_455,200031,,true
false,"Parkway, Camden Town",1326197580000,false,BikePoints_456,200118,,true
false,"Castlehaven Road, Camden Town",1326203280000,false,BikePoints_457,200016,,true
false,"Wapping Lane, Wapping",1326294780000,false,BikePoints_458,200034,,true
false,"Gunmakers Lane, Old Ford",,false,BikePoints_459,200014,,true
false,"Burdett Road, Mile End",1326284820000,false,BikePoints_460,200123,,true
false,"Aston Street, Stepney",1326293640000,true,BikePoints_461,200013,,true
false,"Bonny Street, Camden Town",1326294600000,false,BikePoints_462,200105,,true
false,"Thurtle Road, Haggerston",,false,BikePoints_463,200093,,true
false,"St. Mary & St. Michael Church, Stepney",1326304980000,false,BikePoints_464,200082,,true
false,"Pitfield Street North,Hoxton",1333613280000,false,BikePoints_465,200152,,true
false,"Whiston Road, Haggerston",1326360000000,false,BikePoints_466,200158,,true
false,"Southern Grove, Bow",1326374040000,false,BikePoints_467,200168,,true
false,"Cantrell Road, Bow",1326375720000,false,BikePoints_468,200150,,true
false,"Lindfield Street, Poplar",1326381060000,false,BikePoints_469,022178,,true
false,"Mostyn Grove, Bow",1326790620000,false,BikePoints_470,200174,,true
