place_id,terminal_name,temporary,common_name,installed,install_date,removal_date,locked
BikePoints_126,001043,false,"Museum of London, Barbican",true,1279193340000,,false
BikePoints_128,001116,false,"Emperor's Gate, South Kensington",true,1279194060000,,false
BikePoints_129,003451,false,"Golden Square, Soho",true,1279198500000,,false
BikePoints_130,001071,false,"Tower Gardens , Tower",true,1279198800000,,false
BikePoints_132,000973,false,"Bethnal Green Road, Shoreditch",true,1279199520000,,false
BikePoints_133,003436,false,"Derry Street, Kensington",true,1279200240000,,false
BikePoints_134,001039,false,"Wapping High Street, Wapping",true,1279200900000,,false
BikePoints_135,001053,false,"Clerkenwell Green, Clerkenwell",true,1279201080000,,false
BikePoints_136,001048,false,"Queen Victoria Street, St. Paul's",true,1279201200000,,false
BikePoints_138,003464,false,"Green Street, Mayfair",true,1279205220000,,false
BikePoints_140,001056,false,"Finsbury Square , Moorgate",true,1279205580000,,false
BikePoints_143,001114,false,"Pont Street, Knightsbridge",true,1279211400000,,false
BikePoints_144,001093,false,"Kennington Cross, Kennington",true,1279211580000,,false
BikePoints_145,001115,false,"Ilchester Place, Kensington",true,1279212180000,,false
BikePoints_146,001046,false,"Vauxhall Bridge , Pimlico",true,1279212360000,,false
