installed,temporary,locked,common_name,install_date,removal_date,place_id,terminal_name
true,false,false,"Lower Marsh, Waterloo",1283762460000,,BikePoints_347,001219
true,false,false,"Grosvenor Square, Mayfair",1284540540000,,BikePoints_348,010627
true,false,false,"St. George Street, Mayfair",1284543120000,,BikePoints_349,001221
true,false,false,"Queen's Gate, Kensington Gardens",1285756260000,,BikePoints_350,001231
true,false,false,"Macclesfield Rd, St Lukes",1286790480000,,BikePoints_351,001226
true,false,false,"Vauxhall Street, Vauxhall",1286796360000,,BikePoints_352,001224
true,false,false,"Greycoat Street , Westminster",1287652080000,,BikePoints_353,010623
true,false,false,"Northumberland Avenue, Strand",,,BikePoints_354,001097
true,false,false,"Clapham Common Station, Clapham Common",1287752460000,,BikePoints_355,002694
true,false,false,"South Kensington Station, South Kensington",1288009080000,,BikePoints_356,002685
true,false,false,"Howland Street, Fitzrovia",1288092420000,,BikePoints_357,002691
true,false,false,"High Holborn , Covent Garden",1290079860000,,BikePoints_358,001229
true,false,false,"Butler Place, Westminster",1288950960000,,BikePoints_359,002662
true,false,false,"Howick Place, Westminster",1288958160000,,BikePoints_360,002666
true,false,false,"Waterloo Station 2, Waterloo",1291902600000,,BikePoints_361,002692
true,false,false,"Royal College Street, Camden Town",1290080220000,,BikePoints_362,002686
true,false,false,"Lord's, St. John's Wood",1289911800000,,BikePoints_363,002665
true,false,false,"Store Street, Bloomsbury",1290080640000,,BikePoints_364,003507
true,false,false,"City Road, Angel",1290603600000,,BikePoints_365,002690
true,false,false,"Millennium Hotel, Mayfair",1290686880000,,BikePoints_366,001230
true,false,false,"Harrowby Street, Marylebone",,,BikePoints_367,002680
true,false,false,"Harriet Street, Knightsbridge",1291201680000,,BikePoints_368,002681
true,false,false,"Paddington Green, Paddington",1291647300000,,BikePoints_370,002670
true,false,false,"King Edward Walk, Waterloo",1291712820000,,BikePoints_371,002639
true,false,false,"Sardinia Street, Holborn",1291713000000,,BikePoints_372,002649
true,false,false,"Prince Consort Road, Knightsbridge",1295428320000,,BikePoints_373,003499
true,false,false,"Waterloo Station 1, Waterloo",1291725720000,,BikePoints_374,002696
true,false,false,"Kensington Town Hall, Kensington",1291805820000,,BikePoints_375,010632
true,false,false,"Millbank Tower, Pimlico",1294660980000,,BikePoints_376,002683
true,false,false,"Waterloo Bridge, South Bank",1295265420000,,BikePoints_377,002648
true,false,false,"Natural History Museum, South Kensington",1296121500000,,BikePoints_378,002677
true,false,false,"Turquoise Island, Notting Hill",1296121680000,,BikePoints_379,002682
true,false,false,"Stanhope Gate, Mayfair",1296125400000,,BikePoints_380,003506
true,false,false,"Charlotte Street, Fitzrovia",1296203760000,,BikePoints_381,002669
true,false,false,"Farm Street, Mayfair",1297159320000,,BikePoints_382,002678
true,false,false,"Frith Street, Soho",1296649200000,,BikePoints_383,002660
true,false,false,"Marloes Road, Kensington",1296731880000,,BikePoints_384,003505
true,false,false,"Moor Street, Soho",1296732540000,,BikePoints_386,003504
true,false,false,"Fire Brigade Pier, Vauxhall",1297077540000,,BikePoints_387,002703
true,false,false,"Southampton Street, Strand",1297182180000,,BikePoints_388,001228
true,false,false,"Upper Grosvenor Street, Mayfair",1297347960000,,BikePoints_389,010621
true,false,false,"Buxton Street 1, Shoreditch",1297764360000,,BikePoints_390,001223
true,false,false,"Clifford Street, Mayfair",1297956480000,1539846000000,BikePoints_391,002688
true,false,false,"Imperial College, Knightsbridge",1297958700000,,BikePoints_392,001220
true,false,false,"Snow Hill, Farringdon",1298545440000,,BikePoints_393,002699
true,false,false,"Aberdeen Place, St. John's Wood",,,BikePoints_394,002698
