removal_date,locked,temporary,place_id,terminal_name,installed,common_name,install_date
,false,false,BikePoints_359,002662,true,"Butler Place, Westminster",1288950960000
,false,false,BikePoints_360,002666,true,"Howick Place, Westminster",1288958160000
,false,false,BikePoints_361,002692,true,"Waterloo Station 2, Waterloo",1291902600000
,false,false,BikePoints_362,002686,true,"Royal College Street, Camden Town",1290080220000
,false,false,BikePoints_363,002665,true,"Lord's, St. John's Wood",1289911800000
,false,false,BikePoints_364,003507,true,"Store Street, Bloomsbury",1290080640000
,false,false,BikePoints_365,002690,true,"City Road, Angel",1290603600000
,false,false,BikePoints_367,002680,true,"Harrowby Street, Marylebone",
,false,false,BikePoints_368,002681,true,"Harriet Street, Knightsbridge",1291201680000
,false,false,BikePoints_370,002670,true,"Paddington Green, Paddington",1291647300000
,false,false,BikePoints_371,002639,true,"King Edward Walk, Waterloo",1291712820000
,false,false,BikePoints_372,002649,true,"Sardinia Street, Holborn",1291713000000
,false,false,BikePoints_373,003499,true,"Prince Consort Road, Knightsbridge",1295428320000
,false,false,BikePoints_374,002696,true,"Waterloo Station 1, Waterloo",1291725720000
,false,false,BikePoints_375,010632,true,"Kensington Town Hall, Kensington",1291805820000
,false,false,BikePoints_376,002683,true,"Millbank Tower, Pimlico",1294660980000
,false,false,BikePoints_377,002648,true,"Waterloo Bridge, South Bank",1295265420000
,false,false,BikePoints_378,002677,true,"Natural History Museum, South Kensington",1296121500000
,false,false,BikePoints_379,002682,true,"Turquoise Island, Notting Hill",1296121680000
,false,false,BikePoints_380,003506,true,"Stanhope Gate, Mayfair",1296125400000
,false,false,BikePoints_381,002669,true,"Charlotte Street, Fitzrovia",1296203760000
,false,false,BikePoints_382,002678,true,"Farm Street, Mayfair",1297159320000
,false,false,BikePoints_383,002660,true,"Frith Street, Soho",1296649200000
,false,false,BikePoints_384,003505,true,"Marloes Road, Kensington",1296731880000
,false,false,BikePoints_386,003504,true,"Moor Street, Soho",1296732540000
,false,false,BikePoints_387,002703,true,"Fire Brigade Pier, Vauxhall",1297077540000
,false,false,BikePoints_388,001228,true,"Southampton Street, Strand",1297182180000
,false,false,BikePoints_389,010621,true,"Upper Grosvenor Street, Mayfair",1297347960000
,false,false,BikePoints_390,001223,true,"Buxton Street 1, Shoreditch",1297764360000
1539846000000,false,false,BikePoints_391,002688,true,"Clifford Street, Mayfair",1297956480000
,false,false,BikePoints_392,001220,true,"Imperial College, Knightsbridge",1297958700000
,false,false,BikePoints_393,002699,true,"Snow Hill, Farringdon",1298545440000
,false,false,BikePoints_394,002698,true,"Aberdeen Place, St. John's Wood",
,false,false,BikePoints_395,002695,true,"Cadogan Gardens, Chelsea",1298908800000
,false,false,BikePoints_396,002693,true,"Shouldham Street, Marylebone",1299075120000
,false,false,BikePoints_397,001227,true,"Devonshire Terrace, Bayswater",1299075900000
,false,false,BikePoints_398,010631,true,"Holland Park, Kensington",1299076440000
