temporary,installed,place_id,terminal_name,common_name,install_date,removal_date,locked
false,true,BikePoints_349,001221,"St. George Street, Mayfair",1284543120000,,false
false,true,BikePoints_350,001231,"Queen's Gate, Kensington Gardens",1285756260000,,false
false,true,BikePoints_351,001226,"Macclesfield Rd, St Lukes",1286790480000,,false
false,true,BikePoints_352,001224,"Vauxhall Street, Vauxhall",1286796360000,,false
false,true,BikePoints_353,010623,"Greycoat Street , Westminster",1287652080000,,false
false,true,BikePoints_354,001097,"Northumberland Avenue, Strand",,,false
false,true,BikePoints_355,002694,"Clapham Common Station, Clapham Common",1287752460000,,false
false,true,BikePoints_356,002685,"South Kensington Station, South Kensington",1288009080000,,false
false,true,BikePoints_357,002691,"Howland Street, Fitzrovia",1288092420000,,false
false,true,BikePoints_358,001229,"High Holborn , Covent Garden",1290079860000,,false
false,true,BikePoints_359,002662,"Butler Place, Westminster",1288950960000,,false
false,true,BikePoints_360,002666,"Howick Place, Westminster",1288958160000,,false
false,true,BikePoints_361,002692,"Waterloo Station 2, Waterloo",1291902600000,,false
false,true,BikePoints_362,002686,"Royal College Street, Camden Town",1290080220000,,false
false,true,BikePoints_363,002665,"Lord's, St. John's Wood",1289911800000,,false
false,true,BikePoints_364,003507,"Store Street, Bloomsbury",1290080640000,,false
false,true,BikePoints_365,002690,"City Road, Angel",1290603600000,,false
false,true,BikePoints_367,002680,"Harrowby Street, Marylebone",,,false
false,true,BikePoints_368,002681,"Harriet Street, Knightsbridge",1291201680000,,false
false,true,BikePoints_370,002670,"Paddington Green, Paddington",1291647300000,,false
false,true,BikePoints_371,002639,"King Edward Walk, Waterloo",1291712820000,,false
false,true,BikePoints_372,002649,"Sardinia Street, Holborn",1291713000000,,false
false,true,BikePoints_373,003499,"Prince Consort Road, Knightsbridge",1295428320000,,false
false,true,BikePoints_374,002696,"Waterloo Station 1, Waterloo",1291725720000,,false
false,true,BikePoints_375,010632,"Kensington Town Hall, Kensington",1291805820000,,false
false,true,BikePoints_376,002683,"Millbank Tower, Pimlico",1294660980000,,false
false,true,BikePoints_377,002648,"Waterloo Bridge, South Bank",1295265420000,,false
false,true,BikePoints_378,002677,"Natural History Museum, South Kensington",1296121500000,,false
false,true,BikePoints_379,002682,"Turquoise Island, Notting Hill",1296121680000,,false
false,true,BikePoints_380,003506,"Stanhope Gate, Mayfair",1296125400000,,false
false,true,BikePoints_381,002669,"Charlotte Street, Fitzrovia",1296203760000,,false
false,true,BikePoints_382,002678,"Farm Street, Mayfair",1297159320000,,false
false,true,BikePoints_383,002660,"Frith Street, Soho",1296649200000,,false
false,true,BikePoints_384,003505,"Marloes Road, Kensington",1296731880000,,false
false,true,BikePoints_386,003504,"Moor Street, Soho",1296732540000,,false
false,true,BikePoints_387,002703,"Fire Brigade Pier, Vauxhall",1297077540000,,false
false,true,BikePoints_388,001228,"Southampton Street, Strand",1297182180000,,false
false,true,BikePoints_389,010621,"Upper Grosvenor Street, Mayfair",1297347960000,,false
