place_id,installed,install_date,locked,terminal_name,temporary,removal_date,common_name
BikePoints_71,true,1278924900000,false,001074,false,,"Newgate Street , St. Paul's"
BikePoints_72,true,1276948860000,false,003432,false,,"Farringdon Lane, Clerkenwell"
BikePoints_73,true,1278941040000,false,001064,false,,"Old Street Station, St. Luke's"
BikePoints_74,true,1278941160000,false,001000,false,,"Vauxhall Cross, Vauxhall"
BikePoints_75,true,1278945180000,false,001060,false,,"Torrens Street, Angel"
BikePoints_76,true,1278946560000,false,000976,false,,"Longford Street, The Regent's Park"
BikePoints_77,true,1278946860000,false,000978,false,,"Russell Square Station, Bloomsbury"
BikePoints_78,true,1278948480000,false,003433,false,,"Sadlers Sports Centre, Finsbury"
BikePoints_79,true,1509018360000,false,003455,false,,"Arundel Street, Temple"
BikePoints_80,true,1278952440000,false,003448,false,,"Webber Street , Southwark"
BikePoints_81,true,1279012980000,false,003450,false,,"Great Titchfield Street, Fitzrovia"
BikePoints_82,true,1279015680000,false,003453,false,,"Chancery Lane, Holborn"
BikePoints_83,true,1279015800000,false,003452,false,,"Panton Street, West End"
BikePoints_84,true,1279020240000,false,003449,false,,"Breams Buildings, Holborn"
BikePoints_338,true,1280158740000,false,001202,false,,"Wellington Street , Strand"
BikePoints_339,true,1280160600000,false,001127,false,,"Risinghill Street, Angel"
BikePoints_340,true,1280248620000,false,001201,false,,"Bank of England Museum, Bank"
BikePoints_341,true,1280222160000,false,001160,false,,"Craven Street, Strand"
BikePoints_343,true,1280224260000,false,001188,false,,"London Zoo Car Park, The Regent's Park"
BikePoints_344,true,1280226120000,false,001222,false,,"Goswell Road (City Uni), Finsbury"
BikePoints_345,true,1280229720000,false,001218,false,,"Flood Street, Chelsea"
BikePoints_347,true,1283762460000,false,001219,false,,"Lower Marsh, Waterloo"
BikePoints_348,true,1284540540000,false,010627,false,,"Grosvenor Square, Mayfair"
BikePoints_349,true,1284543120000,false,001221,false,,"St. George Street, Mayfair"
BikePoints_350,true,1285756260000,false,001231,false,,"Queen's Gate, Kensington Gardens"
BikePoints_351,true,1286790480000,false,001226,false,,"Macclesfield Rd, St Lukes"
BikePoints_352,true,1286796360000,false,001224,false,,"Vauxhall Street, Vauxhall"
BikePoints_353,true,1287652080000,false,010623,false,,"Greycoat Street , Westminster"
BikePoints_354,true,,false,001097,false,,"Northumberland Avenue, Strand"
BikePoints_355,true,1287752460000,false,002694,false,,"Clapham Common Station, Clapham Common"
BikePoints_356,true,1288009080000,false,002685,false,,"South Kensington Station, South Kensington"
BikePoints_357,true,1288092420000,false,002691,false,,"Howland Street, Fitzrovia"
BikePoints_358,true,1290079860000,false,001229,false,,"High Holborn , Covent Garden"
BikePoints_359,true,1288950960000,false,002662,false,,"Butler Place, Westminster"
BikePoints_360,true,1288958160000,false,002666,false,,"Howick Place, Westminster"
BikePoints_361,true,1291902600000,false,002692,false,,"Waterloo Station 2, Waterloo"
BikePoints_362,true,1290080220000,false,002686,false,,"Royal College Street, Camden Town"
BikePoints_363,true,1289911800000,false,002665,false,,"Lord's, St. John's Wood"
BikePoints_364,true,1290080640000,false,003507,false,,"Store Street, Bloomsbury"
BikePoints_365,true,1290603600000,false,002690,false,,"City Road, Angel"
BikePoints_366,true,1290686880000,false,001230,false,,"Millennium Hotel, Mayfair"
BikePoints_367,true,,false,002680,false,,"Harrowby Street, Marylebone"
BikePoints_368,true,1291201680000,false,002681,false,,"Harriet Street, Knightsbridge"
BikePoints_370,true,1291647300000,false,002670,false,,"Paddington Green, Paddington"
BikePoints_371,true,1291712820000,false,002639,false,,"King Edward Walk, Waterloo"
BikePoints_372,true,1291713000000,false,002649,false,,"Sardinia Street, Holborn"
BikePoints_373,true,1295428320000,false,003499,false,,"Prince Consort Road, Knightsbridge"
BikePoints_374,true,1291725720000,false,002696,false,,"Waterloo Station 1, Waterloo"
BikePoints_375,true,1291805820000,false,010632,false,,"Kensington Town Hall, Kensington"
BikePoints_376,true,1294660980000,false,002683,false,,"Millbank Tower, Pimlico"
BikePoints_377,true,1295265420000,false,002648,false,,"Waterloo Bridge, South Bank"
BikePoints_378,true,1296121500000,false,002677,false,,"Natural History Museum, South Kensington"
BikePoints_379,true,1296121680000,false,002682,false,,"Turquoise Island, Notting Hill"
BikePoints_380,true,1296125400000,false,003506,false,,"Stanhope Gate, Mayfair"
BikePoints_381,true,1296203760000,false,002669,false,,"Charlotte Street, Fitzrovia"
