removal_date,common_name,locked,installed,terminal_name,install_date,temporary,place_id
,"West Cromwell Road, Earl's Court",false,true,001001,1279211220000,false,BikePoints_142
,"Pont Street, Knightsbridge",false,true,001114,1279211400000,false,BikePoints_143
,"Kennington Cross, Kennington",false,true,001093,1279211580000,false,BikePoints_144
,"Ilchester Place, Kensington",false,true,001115,1279212180000,false,BikePoints_145
,"Vauxhall Bridge , Pimlico",false,true,001046,1279212360000,false,BikePoints_146
,"Tachbrook Street, Victoria",false,true,000965,,false,BikePoints_148
,"Kennington Road Post Office, Oval",false,true,001073,1279215360000,false,BikePoints_149
,"Holy Trinity Brompton, Knightsbridge",false,true,001002,1279215540000,false,BikePoints_150
,"Chepstow Villas, Notting Hill",false,true,001120,1279215720000,false,BikePoints_151
,"Hampton Street, Walworth",false,true,001118,1279215900000,false,BikePoints_152
,"Bayswater Road, Hyde Park",false,true,001096,1279216080000,false,BikePoints_153
,"Waterloo Station 3, Waterloo",false,true,001072,,false,BikePoints_154
,"Lexham Gardens, Kensington",false,true,001121,1279272660000,false,BikePoints_155
,"New Kent Road, The Borough",false,true,000966,1279273080000,false,BikePoints_156
,"Wright's Lane, Kensington",false,true,001094,1279273200000,false,BikePoints_157
,"Trebovir Road, Earl's Court",false,true,001113,1279273320000,false,BikePoints_158
,"Waterloo Place, St. James's",false,true,003458,1279274280000,false,BikePoints_160
,"Guildhouse Street, Victoria",false,true,003478,1279286940000,false,BikePoints_161
,"Southampton Place, Holborn",false,true,001123,1279287120000,false,BikePoints_162
,"Sloane Avenue, Knightsbridge",false,true,003461,1279287300000,false,BikePoints_163
,"Cleveland Gardens, Bayswater",false,true,001178,1279287600000,false,BikePoints_164
,"Orsett Terrace, Bayswater",false,true,002585,1279287960000,false,BikePoints_165
,"Seville Street, Knightsbridge",false,true,001177,1279288140000,false,BikePoints_166
,"Eccleston Place, Victoria",false,true,003465,,false,BikePoints_167
,"Argyll Road, Kensington",false,true,003463,1279289400000,false,BikePoints_168
,"Porchester Place, Paddington",false,true,003477,1279289760000,false,BikePoints_169
,"Kennington Station, Kennington",false,true,022170,1323346020000,false,BikePoints_435
,"Red Lion Street, Holborn",false,true,022171,1323350220000,false,BikePoints_436
,"Vauxhall Walk, Vauxhall",false,true,200056,1325746380000,false,BikePoints_437
,"Killick Street, King's Cross",false,true,200053,1325705460000,false,BikePoints_439
,"Kennington Oval, Oval",false,true,200032,1325708160000,false,BikePoints_440
