installed,temporary,terminal_name,removal_date,place_id,locked,install_date,common_name
true,false,001160,,BikePoints_341,false,1280222160000,"Craven Street, Strand"
true,false,001188,,BikePoints_343,false,1280224260000,"London Zoo Car Park, The Regent's Park"
true,false,001222,,BikePoints_344,false,1280226120000,"Goswell Road (City Uni), Finsbury"
true,false,001218,,BikePoints_345,false,1280229720000,"Flood Street, Chelsea"
true,false,001219,,BikePoints_347,false,1283762460000,"Lower Marsh, Waterloo"
true,false,010627,,BikePoints_348,false,1284540540000,"Grosvenor Square, Mayfair"
true,false,001221,,BikePoints_349,false,1284543120000,"St. George Street, Mayfair"
true,false,001231,,BikePoints_350,false,1285756260000,"Queen's Gate, Kensington Gardens"
true,false,001226,,BikePoints_351,false,1286790480000,"Macclesfield Rd, St Lukes"
true,false,001224,,BikePoints_352,false,1286796360000,"Vauxhall Street, Vauxhall"
true,false,010623,,BikePoints_353,false,1287652080000,"Greycoat Street , Westminster"
true,false,001097,,BikePoints_354,false,,"Northumberland Avenue, Strand"
true,false,002694,,BikePoints_355,false,1287752460000,"Clapham Common Station, Clapham Common"
true,false,002685,,BikePoints_356,false,1288009080000,"South Kensington Station, South Kensington"
true,false,002691,,BikePoints_357,false,1288092420000,"Howland Street, Fitzrovia"
true,false,001229,,BikePoints_358,false,1290079860000,"High Holborn , Covent Garden"
true,false,002662,,BikePoints_359,false,1288950960000,"Butler Place, Westminster"
true,false,002666,,BikePoints_360,false,1288958160000,"Howick Place, Westminster"
true,false,002692,,BikePoints_361,false,1291902600000,"Waterloo Station 2, Waterloo"
true,false,002686,,BikePoints_362,false,1290080220000,"Royal College Street, Camden Town"
true,false,002665,,BikePoints_363,false,1289911800000,"Lord's, St. John's Wood"
true,false,003507,,BikePoints_364,false,1290080640000,"Store Street, Bloomsbury"
true,false,002690,,BikePoints_365,false,1290603600000,"City Road, Angel"
true,false,002680,,BikePoints_367,false,,"Harrowby Street, Marylebone"
true,false,002681,,BikePoints_368,false,1291201680000,"Harriet Street, Knightsbridge"
true,false,002670,,BikePoints_370,false,1291647300000,"Paddington Green, Paddington"
true,false,002639,,BikePoints_371,false,1291712820000,"King Edward Walk, Waterloo"
true,false,002649,,BikePoints_372,false,1291713000000,"Sardinia Street, Holborn"
true,false,003499,,BikePoints_373,false,1295428320000,"Prince Consort Road, Knightsbridge"
true,false,002696,,BikePoints_374,false,1291725720000,"Waterloo Station 1, Waterloo"
true,false,010632,,BikePoints_375,false,1291805820000,"Kensington Town Hall, Kensington"
true,false,002683,,BikePoints_376,false,1294660980000,"Millbank Tower, Pimlico"
true,false,002648,,BikePoints_377,false,1295265420000,"Waterloo Bridge, South Bank"
true,false,002677,,BikePoints_378,false,1296121500000,"Natural History Museum, South Kensington"
true,false,002682,,BikePoints_379,false,1296121680000,"Turquoise Island, Notting Hill"
true,false,003506,,BikePoints_380,false,1296125400000,"Stanhope Gate, Mayfair"
true,false,002669,,BikePoints_381,false,1296203760000,"Charlotte Street, Fitzrovia"
true,false,002678,,BikePoints_382,false,1297159320000,"Farm Street, Mayfair"
true,false,002660,,BikePoints_383,false,1296649200000,"Frith Street, Soho"
true,false,003505,,BikePoints_384,false,1296731880000,"Marloes Road, Kensington"
true,false,003504,,BikePoints_386,false,1296732540000,"Moor Street, Soho"
true,false,002703,,BikePoints_387,false,1297077540000,"Fire Brigade Pier, Vauxhall"
true,false,001228,,BikePoints_388,false,1297182180000,"Southampton Street, Strand"
true,false,010621,,BikePoints_389,false,1297347960000,"Upper Grosvenor Street, Mayfair"
true,false,001223,,BikePoints_390,false,1297764360000,"Buxton Street 1, Shoreditch"
