install_date,place_id,installed,common_name,locked,temporary,terminal_name,removal_date
1279215720000,BikePoints_151,true,"Chepstow Villas, Notting Hill",false,false,001120,
1279215900000,BikePoints_152,true,"Hampton Street, Walworth",false,false,001118,
1279216080000,BikePoints_153,true,"Bayswater Road, Hyde Park",false,false,001096,
,BikePoints_154,true,"Waterloo Station 3, Waterloo",false,false,001072,
1279272660000,BikePoints_155,true,"Lexham Gardens, Kensington",false,false,001121,
1279273080000,BikePoints_156,true,"New Kent Road, The Borough",false,false,000966,
1279273200000,BikePoints_157,true,"Wright's Lane, Kensington",false,false,001094,
1279273320000,BikePoints_158,true,"Trebovir Road, Earl's Court",false,false,001113,
1279274280000,BikePoints_160,true,"Waterloo Place, St. James's",false,false,003458,
1279286940000,BikePoints_161,true,"Guildhouse Street, Victoria",false,false,003478,
1279287120000,BikePoints_162,true,"Southampton Place, Holborn",false,false,001123,
1279287300000,BikePoints_163,true,"Sloane Avenue, Knightsbridge",false,false,003461,
1279287600000,BikePoints_164,true,"Cleveland Gardens, Bayswater",false,false,001178,
1279287960000,BikePoints_165,true,"Orsett Terrace, Bayswater",false,false,002585,
1279288140000,BikePoints_166,true,"Seville Street, Knightsbridge",false,false,001177,
,BikePoints_167,true,"Eccleston Place, Victoria",false,false,003465,
1279289400000,BikePoints_168,true,"Argyll Road, Kensington",false,false,003463,
1319448720000,BikePoints_432,true,"Exhibition Road Museums 1, South Kensington",false,false,022158,
1323361560000,BikePoints_433,true,"Wren Street, Holborn",false,false,022169,
1323346020000,BikePoints_435,true,"Kennington Station, Kennington",false,false,022170,
1323350220000,BikePoints_436,true,"Red Lion Street, Holborn",false,false,022171,
1325746380000,BikePoints_437,true,"Vauxhall Walk, Vauxhall",false,false,200056,
1325705460000,BikePoints_439,true,"Killick Street, King's Cross",false,false,200053,
1325708160000,BikePoints_440,true,"Kennington Oval, Oval",false,false,200032,
1325711220000,BikePoints_441,true,"Sail Street, Vauxhall",false,false,200039,
1325940420000,BikePoints_442,true,"Walmer Road, Avondale",false,false,200035,
1325941800000,BikePoints_443,true,"Philpot Street, Whitechapel",false,false,200033,
1325944680000,BikePoints_444,true,"Bethnal Green Garden, Bethnal Green",false,false,200047,
