place_id,removal_date,locked,common_name,terminal_name,install_date,temporary,installed
BikePoints_131,,false,"Eversholt Street , Camden Town",001005,1279199280000,false,true
BikePoints_132,,false,"Bethnal Green Road, Shoreditch",000973,1279199520000,false,true
BikePoints_133,,false,"Derry Street, Kensington",003436,1279200240000,false,true
BikePoints_134,,false,"Wapping High Street, Wapping",001039,1279200900000,false,true
BikePoints_135,,false,"Clerkenwell Green, Clerkenwell",001053,1279201080000,false,true
BikePoints_136,,false,"Queen Victoria Street, St. Paul's",001048,1279201200000,false,true
BikePoints_138,,false,"Green Street, Mayfair",003464,1279205220000,false,true
BikePoints_139,,false,"Lambeth Road, Vauxhall",001078,1279205460000,false,true
BikePoints_140,,false,"Finsbury Square , Moorgate",001056,1279205580000,false,true
BikePoints_141,,false,"Chapel Place, Marylebone",001003,1279210980000,false,true
BikePoints_142,,false,"West Cromwell Road, Earl's Court",001001,1279211220000,false,true
BikePoints_143,,false,"Pont Street, Knightsbridge",001114,1279211400000,false,true
BikePoints_144,,false,"Kennington Cross, Kennington",001093,1279211580000,false,true
BikePoints_145,,false,"Ilchester Place, Kensington",001115,1279212180000,false,true
BikePoints_146,,false,"Vauxhall Bridge , Pimlico",001046,1279212360000,false,true
BikePoints_148,,false,"Tachbrook Street, Victoria",000965,,false,true
BikePoints_149,,false,"Kennington Road Post Office, Oval",001073,1279215360000,false,true
BikePoints_150,,false,"Holy Trinity Brompton, Knightsbridge",001002,1279215540000,false,true
BikePoints_151,,false,"Chepstow Villas, Notting Hill",001120,1279215720000,false,true
BikePoints_152,,false,"Hampton Street, Walworth",001118,1279215900000,false,true
BikePoints_153,,false,"Bayswater Road, Hyde Park",001096,1279216080000,false,true
BikePoints_154,,false,"Waterloo Station 3, Waterloo",001072,,false,true
BikePoints_155,,false,"Lexham Gardens, Kensington",001121,1279272660000,false,true
BikePoints_156,,false,"New Kent Road, The Borough",000966,1279273080000,false,true
BikePoints_157,,false,"Wright's Lane, Kensington",001094,1279273200000,false,true
BikePoints_158,,false,"Trebovir Road, Earl's Court",001113,1279273320000,false,true
BikePoints_160,,false,"Waterloo Place, St. James's",003458,1279274280000,false,true
BikePoints_161,,false,"Guildhouse Street, Victoria",003478,1279286940000,false,true
BikePoints_162,,false,"Southampton Place, Holborn",001123,1279287120000,false,true
BikePoints_163,,false,"Sloane Avenue, Knightsbridge",003461,1279287300000,false,true
BikePoints_164,,false,"Cleveland Gardens, Bayswater",001178,1279287600000,false,true
BikePoints_165,,false,"Orsett Terrace, Bayswater",002585,1279287960000,false,true
BikePoints_166,,false,"Seville Street, Knightsbridge",001177,1279288140000,false,true
BikePoints_167,,false,"Eccleston Place, Victoria",003465,,false,true
BikePoints_168,,false,"Argyll Road, Kensington",003463,1279289400000,false,true
BikePoints_432,,false,"Exhibition Road Museums 1, South Kensington",022158,1319448720000,false,true
BikePoints_433,,false,"Wren Street, Holborn",022169,1323361560000,false,true
BikePoints_435,,false,"Kennington Station, Kennington",022170,1323346020000,false,true
BikePoints_436,,false,"Red Lion Street, Holborn",022171,1323350220000,false,true
BikePoints_437,,false,"Vauxhall Walk, Vauxhall",200056,1325746380000,false,true
BikePoints_439,,false,"Killick Street, King's Cross",200053,1325705460000,false,true
BikePoints_440,,false,"Kennington Oval, Oval",200032,1325708160000,false,true
BikePoints_441,,false,"Sail Street, Vauxhall",200039,1325711220000,false,true
BikePoints_442,,false,"Walmer Road, Avondale",200035,1325940420000,false,true
BikePoints_443,,false,"Philpot Street, Whitechapel",200033,1325941800000,false,true
BikePoints_444,,false,"Bethnal Green Garden, Bethnal Green",200047,1325944680000,false,true
BikePoints_445,,false,"Cheshire Street, Bethnal Green",200003,1325945820000,false,true
BikePoints_446,,false,"York Hall, Bethnal Green",200042,1325948880000,false,true
BikePoints_447,,false,"Jubilee Crescent, Cubitt Town",200054,1325949000000,false,true
BikePoints_448,,false,"Fisherman's Walk West, Canary Wharf",022165,1325952660000,false,true
BikePoints_449,,false,"Shadwell Station, Shadwell",200020,1325952900000,false,true
BikePoints_450,,false,"Jubilee Street, Stepney",200002,1326105240000,false,true
